iter	Passed	Remaining
412	6079	23359
413	6108	23400
414	6138	23445
415	6166	23481
416	6194	23514
417	6222	23549
418	6252	23593
419	6279	23623
420	6306	23653
421	6334	23687
422	6366	23735
423	6396	23774
424	6423	23805
425	6453	23843
426	6481	23876
427	6509	23909
428	6537	23939
429	6566	23974
430	6595	24010
431	6624	24044
432	6654	24080
433	6682	24113
434	6715	24158
435	6744	24193
436	6776	24237
437	6804	24267
438	6832	24293
439	6861	24327
440	6890	24359
441	6918	24386
442	6945	24410
443	6974	24441
444	7004	24474
445	7032	24502
446	7061	24532
447	7090	24562
448	7118	24588
449	7147	24617
450	7175	24645
451	7208	24688
452	7237	24717
453	7266	24743
454	7292	24763
455	7320	24787
456	7348	24811
457	7376	24834
458	7404	24860
459	7434	24889
460	7463	24915
461	7490	24935
462	7519	24962
463	7549	24989
464	7579	25021
465	7610	25052
466	7638	25073
467	7666	25096
468	7699	25133
469	7729	25160
470	7757	25184
471	7785	25203
472	7813	25223
473	7841	25245
474	7869	25264
475	7895	25279
476	7922	25294
477	7948	25308
478	7975	25326
479	8004	25348
480	8037	25381
481	8065	25402
482	8092	25415
483	8120	25436
484	8149	25455
485	8179	25480
486	8206	25494
487	8234	25514
488	8263	25533
489	8292	25555
490	8321	25575
491	8350	25593
492	8380	25616
493	8409	25636
494	8440	25662
495	8472	25690
496	8497	25698
497	8525	25713
498	8554	25730
499	8582	25748
500	8613	25771
501	8640	25783
502	8666	25791
503	8692	25800
504	8719	25812
505	8746	25823
506	8773	25836
507	8798	25842
508	8824	25848
509	8851	25861
510	8877	25869
511	8904	25877
512	8932	25892
513	8960	25905
514	8986	25913
515	9013	25922
516	9039	25930
517	9064	25934
518	9089	25938
519	9115	25945
520	9144	25959
521	9172	25971
522	9201	25985
523	9229	25996
524	9256	26006
525	9288	26029
526	9318	26044
527	9346	26056
528	9373	26064
529	9401	26074
530	9429	26086
531	9457	26096
532	9485	26107
533	9513	26117
534	9541	26127
535	9568	26135
536	9598	26148
537	9629	26167
538	9656	26174
539	9681	26176
540	9711	26191
541	9739	26199
542	9770	26215
543	9797	26222
544	9825	26231
545	9851	26233
546	9879	26242
547	9907	26251
548	9935	26258
549	9964	26269
550	9990	26271
551	10015	26273
552	10042	26277
553	10071	26287
554	10098	26293
555	10125	26296
556	10153	26304
557	10184	26318
558	10213	26329
559	10242	26338
560	10269	26342
561	10297	26348
562	10324	26350
563	10354	26363
564	10382	26370
565	10410	26374
566	10438	26382
567	10464	26383
568	10491	26385
569	10521	26396
570	10548	26398
571	10577	26405
572	10604	26409
573	10632	26414
574	10660	26419
575	10687	26422
576	10713	26421
577	10740	26422
578	10768	26428
579	10796	26432
580	10824	26437
581	10851	26438
582	10878	26441
583	10908	26449
584	10936	26452
585	10962	26452
586	10990	26454
587	11016	26454
588	11044	26458
589	11071	26459
590	11098	26459
591	11124	26459
592	11152	26461
593	11180	26464
594	11207	26464
595	11236	26469
596	11265	26474
597	11292	26474
598	11323	26484
599	11350	26484
600	11378	26486
601	11405	26486
602	11433	26489
603	11462	26493
604	11489	26491
605	11517	26493
606	11544	26493
607	11572	26495
608	11600	26497
609	11632	26505
610	11662	26512
611	11693	26520
612	11724	26527
613	11751	26527
614	11781	26531
615	11809	26534
616	11838	26536
617	11867	26537
618	11896	26540
619	11923	26539
620	11954	26545
621	11982	26546
622	12011	26548
623	12038	26547
624	12067	26549
625	12094	26546
626	12126	26554
627	12154	26553
628	12183	26555
629	12210	26552
630	12237	26550
631	12265	26548
632	12291	26544
633	12320	26546
634	12349	26546
635	12377	26545
636	12404	26542
637	12432	26541
638	12460	26539
639	12488	26538
640	12519	26542
641	12546	26539
642	12573	26534
643	12601	26534
644	12629	26532
645	12657	26529
646	12685	26527
647	12714	26528
648	12741	26524
649	12769	26521
650	12796	26516
651	12823	26512
652	12850	26508
653	12878	26506
654	12906	26502
655	12937	26507
656	12965	26503
657	12992	26497
658	13019	26493
659	13045	26485
660	13072	26480
661	13099	26475
662	13126	26470
663	13154	26468
664	13183	26466
665	13212	26464
666	13240	26462
667	13267	26455
668	13295	26451
669	13326	26453
670	13355	26453
671	13382	26446
672	13411	26444
673	13444	26451
