feature,importance,model
실질위험,0.019296251890281276,CAT
법적페널티,0.0026100749644589966,CAT
극저역률,0.0,CAT
역률부족폭_94,0.07550360021466358,CAT
역률부족폭_92,0.03704722690789634,CAT
PF_recalc,0.24056930938004478,CAT
PF_diff,0.5135031949171105,CAT
무효유효비율,0.211933826894281,CAT
부하역률곱,0.26685906697649747,CAT
역률_월평균,5.303334781946319,CAT
총무효전력,1.7291831356956553,CAT
역률당전력,5.268992031768171,CAT
진상역률_페널티,0.11183363360430715,CAT
가을위험,0.10255910365403481,CAT
동절기안정,0.0,CAT
역률_월평균차이,0.5679905400865937,CAT
kwh_roll24_cv,0.8122097381398159,CAT
kwh_lag1,2.9068466216763773,CAT
kwh_변화율_24h,0.5439437873251073,CAT
전력급등,0.09629344333908785,CAT
kwh_lag24,0.4477872667708608,CAT
kwh_roll24_mean,0.45393629129742036,CAT
kwh_roll24_std,0.43966357166436504,CAT
kwh_시간대비_요일,4.962811615559067,CAT
요금적용전력_kW,0.780166234069358,CAT
피상전력_sim,4.148836295658688,CAT
hour_workday,0.30956679557723576,CAT
hour_weekend,0.08037030472524606,CAT
hour_day_0,0.3091361961140645,CAT
hour_day_1,0.11340846828071816,CAT
hour_day_2,0.3216856557341835,CAT
hour_day_3,0.8130609333562714,CAT
hour_day_4,0.04998052814615635,CAT
hour_day_5,0.28912918022228523,CAT
hour_day_6,0.2528514533837268,CAT
탄소배출량(tCO2),7.523938609386178,CAT
작업유형_일별_시퀀스_ID,4.974218249748398,CAT
요금적용전력_차이_비율,0.4754331131806401,CAT
